score_mean_z,score_std_z,score_type,batch_size,epochs
1.2088192055270452,-1.1148292177295358,train,1,18
1.2046791190000963,0.2058124601778738,train,1,19
1.17433220864162,-1.0821043164172943,train,2,18
1.0757053589480217,1.4170223954600323,test,1,18
1.0497533065579723,-0.950644831288756,train,2,14
1.0492235003082697,0.7089866969620636,test,2,18
0.9804785299443138,0.5239856974334334,test,1,19
0.9231611225672958,0.749746716647349,test,2,14
0.8614323377946221,-0.9821957163541135,train,5,19
0.8357675712897861,-0.4209324363479929,train,3,14
0.7521546170717265,-0.7249065990797896,train,4,17
0.7390560005172123,-0.012121414925162874,test,3,14
0.7107875268460342,0.9766351372886043,test,5,19
0.5858637012737088,0.8413036849699443,test,4,17
0.19773559283087952,-0.932635703284561,train,2,6
0.16881514082203444,-0.6811756334795095,train,6,12
0.1268144237815409,0.24607205222804557,test,2,6
0.10442486518163813,-0.9790973920749867,train,2,5
0.02866150448134538,0.553680332458639,test,2,5
0.021140882340859427,1.1395556415514503,test,6,12
0.0022658062664118145,-0.8613533376651438,train,3,6
-0.05222068906480594,-1.1021025592509952,train,2,4
-0.06593098343835904,0.5215399536160136,test,3,6
-0.08593532033213415,-1.122603148198875,train,5,7
-0.13251946159667202,-1.100950288978248,train,3,5
-0.17544826539168604,0.9997326069618861,test,2,4
-0.1824067570966264,0.5987640387528055,test,5,7
-0.186403221150725,-1.2428516205835258,train,4,5
-0.2174373030209128,-1.1782856302057767,train,2,3
-0.21999927715880976,0.32662830775381707,test,4,5
-0.2408534523413971,0.6037714719151249,test,3,5
-0.3561143433852102,0.8836630600139055,test,2,3
-0.5951553850774016,-0.2683629213564161,train,2,2
-0.7054798192501632,-0.22627330288466155,test,2,2
-0.9399467940015128,-0.7098380401039485,train,5,3
-0.9940782051879153,-0.6257792929826216,test,5,3
-0.9943406868331925,0.6959490809721516,train,5,3
