Model Id,Epochs,Time,Hidden Layer Neurons,Learning Rate,Batch Size,Test Size,Training Loss Min,Validation Loss Min,Training Accuracy Max,Validation Accuracy Max
YYSj,34,17.22,"[64, 32]",0.005,32,0.2,0.3555,0.4411,0.8595,0.8345
HEXn,28,10.71,"[512, 64]",0.005,64,0.2,0.2785,0.4073,0.891,0.8572
TEQl,22,6.7,"[512, 64]",0.005,128,0.2,0.2958,0.3949,0.883,0.858
LZuJ,27,11.39,"[512, 64]",0.005,64,0.2,0.284,0.4214,0.8887,0.8508
wqUr,34,6.74,"[256, 32]",0.005,128,0.2,0.277,0.3825,0.8909,0.8602
KBoa,43,12.71,"[256, 32]",0.005,64,0.2,0.2684,0.4074,0.8939,0.8563
l6tG,30,5.21,"[128, 16]",0.005,128,0.2,0.3432,0.4467,0.86,0.8357
jQpq,49,13.3,"[128, 16]",0.005,64,0.2,0.3062,0.4106,0.879,0.8462
rYPC,35,5.88,"[64, 32]",0.005,128,0.2,0.34,0.4255,0.8646,0.8445
pCDT,33,8.87,"[64, 32]",0.005,64,0.2,0.3352,0.4279,0.8648,0.842
sYZ2,37,13.29,"[512, 256, 64]",0.005,128,0.2,0.1943,0.374,0.9257,0.8758
6ak2,29,24.58,"[512, 256, 64]",0.005,32,0.2,0.2916,0.4201,0.8861,0.852
GD7H,33,7.97,"[256, 128, 32]",0.005,128,0.2,0.2225,0.3801,0.9112,0.8754
kdqE,36,21.42,"[256, 128, 32]",0.005,32,0.2,0.2722,0.4025,0.8946,0.8562
ueRj,39,7.37,"[128, 64, 16]",0.005,128,0.2,0.2398,0.3793,0.9069,0.8697
fioW,30,15.4,"[128, 64, 16]",0.005,32,0.2,0.309,0.4121,0.8805,0.8532
LDDi,47,7.89,"[64, 32, 16]",0.005,128,0.2,0.3104,0.4077,0.8767,0.8466
FSOB,32,15.55,"[64, 32, 16]",0.005,32,0.2,0.3668,0.4291,0.8547,0.8363
jgAT,41,12.13,"[512, 256, 128, 32]",0.005,256,0.2,0.1735,0.3618,0.9322,0.892
iRVN,31,11.98,"[512, 256, 128, 32]",0.005,128,0.2,0.2259,0.3616,0.9119,0.8748
ffL8,27,11.8,"[1024, 256, 64]",0.005,256,0.2,0.2178,0.3848,0.9142,0.8678
CsZ7,28,14.01,"[1024, 256, 64]",0.005,128,0.2,0.2338,0.4374,0.9065,0.8643
FVHS,33,6.32,"[256, 128, 64, 16]",0.005,256,0.2,0.2134,0.3967,0.9184,0.8628
JIhl,42,10.52,"[256, 128, 64, 16]",0.005,128,0.2,0.1972,0.3535,0.9241,0.8792
48pT,34,14.76,"[1024, 256, 64]",0.005,256,0.2,0.1917,0.3666,0.9275,0.8775
UczT,33,17.46,"[1024, 256, 64]",0.005,128,0.2,0.2265,0.3855,0.9123,0.8611
h4z6,31,11.94,"[512, 256, 128, 32]",0.001,128,0.2,0.1897,0.3723,0.9243,0.8705
tWuu,34,13.0,"[512, 256, 128, 32]",0.005,128,0.2,0.2084,0.376,0.9195,0.8683
5Q3U,29,10.74,"[512, 256, 128, 32]",0.01,128,0.2,0.3362,0.4356,0.8707,0.8422
3Foc,41,11.25,"[256, 128, 64, 16]",0.001,128,0.2,0.213,0.3711,0.917,0.8662
u7ES,39,9.99,"[256, 128, 64, 16]",0.005,128,0.2,0.2162,0.3737,0.9161,0.8708
tIc6,46,11.67,"[256, 128, 64, 16]",0.01,128,0.2,0.2772,0.384,0.8938,0.8568
C35D,38,20.26,"[1024, 256, 64]",0.001,128,0.2,0.157,0.3483,0.9389,0.8778
GZcl,32,17.29,"[1024, 256, 64]",0.005,128,0.2,0.2207,0.4094,0.9125,0.8732
QErB,44,23.31,"[1024, 256, 64]",0.01,128,0.2,0.2948,0.3935,0.8851,0.8532
vNOO,33,30.76,"[1024, 512, 256, 128, 32]",0.005,128,0.2,0.2437,0.3705,0.9057,0.8698
4yp6,38,37.07,"[1024, 512, 256, 128, 32]",0.005,128,0.2,0.2143,0.383,0.9193,0.8788
mjyF,32,30.56,"[1024, 512, 256, 128, 32]",0.005,128,0.2,0.2619,0.3894,0.9013,0.8611
PPwj,34,31.82,"[1024, 512, 256, 128, 32]",0.005,128,0.2,0.2356,0.3687,0.9115,0.8754
43sh,41,39.42,"[1024, 512, 256, 128, 32]",0.005,128,0.2,0.2078,0.3933,0.9204,0.8703
sMLi,29,28.14,"[1024, 512, 256, 128, 32]",0.005,128,0.2,0.2483,0.3762,0.9043,0.8671
vffX,34,32.49,"[1024, 512, 256, 128, 32]",0.005,128,0.2,0.2299,0.4019,0.9129,0.8628
NtyD,36,35.21,"[1024, 512, 256, 128, 32]",0.005,128,0.2,0.214,0.3625,0.9184,0.8732
9Frl,31,12.47,"[512, 256, 128, 64, 32]",0.005,128,0.2,0.2271,0.36,0.9128,0.8715
Layg,27,10.6,"[512, 256, 128, 64, 32]",0.005,128,0.2,0.251,0.3663,0.9025,0.87
OkCa,31,12.06,"[512, 256, 128, 64, 32]",0.005,128,0.2,0.2338,0.3703,0.9102,0.8726
N0xn,29,11.92,"[512, 256, 128, 64, 32]",0.005,128,0.2,0.2297,0.3849,0.9114,0.8642
MOV8,40,15.82,"[512, 256, 128, 64, 32]",0.005,128,0.2,0.202,0.3588,0.9243,0.8786
ficW,34,13.06,"[512, 256, 128, 64, 32]",0.005,128,0.2,0.2257,0.3798,0.9112,0.8686
eLNq,30,11.98,"[512, 256, 128, 64, 32]",0.005,128,0.2,0.2342,0.3919,0.9096,0.8697
sfaG,35,13.42,"[512, 256, 128, 64, 32]",0.005,128,0.2,0.2146,0.3841,0.9175,0.8666
B0sA,33,12.21,"[512, 256, 128, 32]",0.005,128,0.2,0.2195,0.3723,0.9147,0.8778
I7Z5,33,12.94,"[512, 256, 128, 32]",0.005,128,0.2,0.2208,0.3916,0.9149,0.8706
mYFi,36,13.46,"[512, 256, 128, 32]",0.005,128,0.2,0.2172,0.3803,0.9154,0.87
